token_id,total_updates,market_hours_updates,market_hours_pct,duration_days,avg_gap_min,updates_per_day
11284950589127919260...,39480,7656,19.39209726443769,274,51.54879381667755,27.94160583941606
59345897499441489295...,39478,7654,19.388013577182228,274,51.56213249705998,27.934306569343065
89160687931919255291...,39478,7654,19.388013577182228,274,51.56020950389825,27.934306569343065
10208239054804619591...,39477,7654,19.388504698938622,274,51.56030750468226,27.934306569343065
16857948273049930034...,39476,7652,19.3839294761374,274,51.57142639306409,27.927007299270073
29343668727576345947...,39475,7651,19.38188727042432,274,51.578039215686275,27.923357664233578
10787155608040610366...,37559,7278,19.377512713331026,260,51.61825385919106,27.99230769230769
44446628319261786751...,37558,7278,19.378028649022845,260,51.61824927854885,27.99230769230769
79516121807256184736...,36554,7086,19.385019423318926,253,51.597459421312635,28.007905138339922
47459180813047899567...,36554,7086,19.385019423318926,253,51.598729710656315,28.007905138339922
19255594762111702415...,36553,7085,19.38281399611523,253,51.60375494071146,28.00395256916996
99478074208094578615...,36553,7086,19.38554974967855,253,51.59777228887321,28.007905138339922
70512916946285526357...,36553,7085,19.38281399611523,253,51.604604272539056,28.00395256916996
22532055631814907447...,36552,7084,19.380608448238128,253,51.61217233752176,28.0
11004445562877597178...,36552,7085,19.38334427664697,253,51.60375494071146,28.00395256916996
30740320315892509265...,36551,7085,19.383874586194633,253,51.606013551665725,28.00395256916996
60573178197991590327...,36551,7084,19.38113868293617,253,51.61132288578286,28.0
39981134260608444876...,36550,7084,19.38166894664843,253,51.61146171584545,28.0
10492265339830825216...,36312,7040,19.387530293016084,252,51.57095941658379,27.936507936507937
94707238746968714980...,36308,7038,19.384157761374905,252,51.585616503244744,27.928571428571427
